id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
109,783,35000000,Y,Y,14,No Medal,15,Fri,7.6,3/17/2017,,
110,1,34000,Y,N,92,Silver,15,Sun,8.2,3/19/2017,,
111,1,607000,Y,N,105,Silver,15,Sun,8.2,3/19/2017,,
112,2,56000,Y,N,113,Silver,15,Sun,8.2,3/19/2017,,
113,1,17000,Y,N,242,Gold,15,Thu,10,3/23/2017,,
114,1,74000000,Y,N,138,Silver,15,Fri,7.1,3/24/2017,,
115,1,38000,Y,N,83,Bronze,15,Sat,8.2,3/25/2017,,
116,1,764,Y,N,137,Silver,15,Wed,4.7,3/29/2017,,
117,11,4000000,Y,N,45,Bronze,15,Thu,7.1,3/30/2017,,
118,4,225000000,N,Y,42,Bronze,15,Thu,7.5,3/30/2017,,
119,1,51000,Y,N,2117,Gold,15,Fri,8.8,3/31/2017,,
120,1,50000,Y,N,52,Bronze,16,Sat,8.2,4/1/2017,,
121,1,186000000,Y,N,1196,Gold,16,Mon,8.8,4/3/2017,,
122,2,3000000,Y,N,52,Bronze,16,Thu,7.1,4/6/2017,,
123,2,9000000,Y,N,187,Silver,16,Sun,7.1,4/9/2017,,
124,1,6000,Y,N,263,Silver,16,Tue,8.2,4/11/2017,,
125,2,59000000,Y,N,525,Gold,16,Wed,8.2,4/12/2017,,
126,2,386000,Y,N,59,Bronze,16,Wed,7.1,4/12/2017,,
127,1,52000000,Y,N,67,Bronze,16,Wed,8.2,4/12/2017,,
128,1,10000,Y,N,209,Silver,16,Thu,7.1,4/13/2017,,
129,613,10000000,Y,Y,228,Gold,16,Thu,7.6,4/13/2017,,
130,2,98000,Y,N,30,No Medal,16,Fri,8.2,4/14/2017,,
131,1,562000,Y,N,74,Bronze,16,Sun,7.1,4/16/2017,,
132,2,15000000,Y,Y,166,Silver,16,Sat,8.2,4/22/2017,,
133,2,6000000,Y,Y,446,Silver,16,Sun,8.5,4/23/2017,,
134,1,1000000,Y,N,234,Silver,16,Tue,6.2,4/25/2017,,
135,4,1000000000,Y,Y,262,Gold,16,Wed,5.9,4/26/2017,,
136,3,5000000,Y,Y,100,Silver,16,Thu,7.1,4/27/2017,,
137,1,2000000,Y,N,35,Bronze,16,Sun,8.2,4/30/2017,,
138,3,5000000,Y,N,91,Bronze,16,Sun,7.4,4/30/2017,,
139,6,10000000,Y,Y,100,Silver,17,Tue,8.2,5/2/2017,,
140,2,13000,Y,N,26,Bronze,17,Wed,7.1,5/3/2017,,
141,1,12000,Y,N,24,No Medal,17,Thu,8.8,5/4/2017,,
142,1,120000,Y,N,118,Bronze,17,Thu,7.1,5/4/2017,,
143,1,42000,Y,N,33,No Medal,17,Sat,8.2,5/6/2017,,
144,5,10000000,Y,N,10,No Medal,17,Sat,7.6,5/6/2017,,
145,2,9000000,Y,N,89,Silver,17,Thu,8.2,5/11/2017,,
146,2,8000,Y,N,485,Gold,17,Fri,8.2,5/12/2017,,
147,1,3000,Y,N,66,Bronze,17,Sat,8.2,5/13/2017,,
148,70950,72000000,N,Y,295,Gold,17,Mon,7.5,5/15/2017,,
149,1,11000,Y,N,930,Gold,17,Tue,7.1,5/16/2017,,
150,1,268000,Y,N,69,Bronze,17,Tue,7.1,5/16/2017,,
151,1,258000,Y,N,33,Bronze,17,Sat,7.6,5/20/2017,,
152,1,523000,Y,N,260,Gold,17,Sun,8.2,5/21/2017,,
