id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
5265,1,241000,Y,N,60,Bronze,77,Fri,10,5/20/2022,,
5266,1,52000,Y,N,32,Bronze,77,Sat,9.7,5/21/2022,,
5267,8369,41000000000,N,Y,18,No Medal,77,Sat,6.3,5/21/2022,,
5268,6,47000,Y,N,36,Bronze,77,Sat,10,5/21/2022,,
5269,1,4000,Y,N,28,Silver,77,Sat,9.7,5/21/2022,,
5270,885,776000000,N,Y,24,Bronze,77,Sun,8.8,5/22/2022,,
5271,1,176000,Y,N,25,Silver,77,Sun,5.9,5/22/2022,,
5272,4,2000000,Y,Y,29,Bronze,77,Sun,10,5/22/2022,,
5273,343,1000000000,Y,Y,462,Gold,77,Mon,8.2,5/23/2022,,
5274,1,50000,Y,N,133,Gold,77,Mon,10,5/23/2022,,
5275,1,107000,Y,N,40,Bronze,77,Mon,10,5/23/2022,,
5276,4,11000,Y,Y,46,Bronze,77,Mon,10,5/23/2022,,
5277,2,3000,Y,N,26,Bronze,77,Mon,10,5/23/2022,,
5278,1,15000,Y,N,26,Bronze,77,Mon,7.6,5/23/2022,,
5279,10085,3000000000,N,Y,7,No Medal,77,Tue,8.1,5/24/2022,,
5280,3,21000,Y,N,10,No Medal,77,Tue,10,5/24/2022,,
5281,5,3000000,Y,Y,42,Bronze,77,Tue,7.9,5/24/2022,,
5282,7,318000,Y,N,357,Gold,77,Wed,7.9,5/25/2022,,
5283,6,1000000000,N,Y,17,Bronze,77,Wed,3.1,5/25/2022,,
5284,1,57000,Y,N,6,No Medal,77,Wed,8.2,5/25/2022,,
5285,8781,78000000,N,Y,27,Bronze,77,Wed,7.5,5/25/2022,,
5286,1,7000,Y,N,365,Silver,77,Thu,9.7,5/26/2022,,
5287,1,3000,Y,N,56,Bronze,77,Thu,10,5/26/2022,,
5288,1,1000000,Y,N,8,No Medal,77,Thu,9.4,5/26/2022,,
5289,1,185000,Y,N,31,Bronze,77,Thu,10,5/26/2022,,
5290,1,92000,Y,N,38,Bronze,77,Thu,10,5/26/2022,,
5291,2,5000000,Y,N,69,No Medal,77,Thu,9.1,5/26/2022,,
5292,2,9000000000,N,Y,208,Gold,77,Thu,10,5/26/2022,,
5293,4,24000000000,N,Y,156,Gold,77,Thu,10,5/26/2022,,
5294,1,2000000,Y,N,34,Bronze,77,Thu,10,5/26/2022,,
5295,2,429000000,Y,N,16,Bronze,77,Thu,9.1,5/26/2022,,
5296,6,619000000,Y,N,24,Bronze,77,Thu,9.4,5/26/2022,,
5297,5,7000000,N,Y,8,No Medal,77,Fri,9.4,5/27/2022,,
5298,2,80000,Y,N,68,Silver,77,Fri,10,5/27/2022,,
5299,1,111000,Y,N,38,Silver,77,Fri,10,5/27/2022,,
5300,1,9000,Y,N,1,No Medal,77,Fri,2.4,5/27/2022,,
5301,1,60000000,Y,N,67,No Medal,77,Sat,9.7,5/28/2022,,
5302,2,15000000,Y,N,12,Bronze,77,Sat,1.2,5/28/2022,,
5303,60,8000000,Y,N,13,Bronze,77,Sat,7.6,5/28/2022,,
5304,1,663,Y,N,2,No Medal,77,Sat,5.3,5/28/2022,,
5305,1,4000,Y,N,88,Silver,77,Sun,8.2,5/29/2022,,
5306,1,642000,Y,N,90,Silver,77,Sun,10,5/29/2022,,
5307,2,9000000,Y,N,35,Bronze,77,Sun,10,5/29/2022,,
5308,1,474000,N,Y,1,No Medal,77,Sun,1.9,5/29/2022,,
5309,1,2000,Y,N,14,Bronze,77,Sun,9.1,5/29/2022,,
5310,1,4000,Y,N,36,Silver,77,Mon,10,5/30/2022,,
5311,14,47000,Y,N,50,Bronze,77,Mon,8.8,5/30/2022,,
5312,20000,122000000,N,Y,10,No Medal,77,Mon,7.5,5/30/2022,,
5313,1,13000,Y,N,16,Bronze,77,Mon,10,5/30/2022,,
5314,1,96000,Y,N,224,Silver,77,Tue,10,5/31/2022,,
5315,26,520000000,Y,N,15,Bronze,77,Tue,9.1,5/31/2022,,
5316,18154,14000000000,N,Y,12,Bronze,77,Tue,10,5/31/2022,,
5317,89,134000000,Y,Y,194,Gold,77,Tue,8.8,5/31/2022,,
5318,10000,3000000000,N,Y,15,Bronze,77,Tue,8.8,5/31/2022,,
5319,9208,4000000000,N,Y,21,Bronze,77,Tue,8.8,5/31/2022,,
5320,2,2000000,Y,N,49,Bronze,78,Wed,10,6/1/2022,,
5321,2,136000,Y,N,68,Bronze,78,Wed,10,6/1/2022,,
5322,2,29000,Y,N,41,Bronze,78,Wed,5.3,6/1/2022,,
5323,1,7000,Y,N,1,No Medal,78,Wed,1.8,6/1/2022,,
5324,4,473000,Y,N,34,Bronze,78,Wed,5.3,6/1/2022,,
5325,4,14000000000,N,Y,127,Gold,78,Wed,3.8,6/1/2022,,
5326,1,883000,Y,N,19,Bronze,78,Wed,9.7,6/1/2022,,
5327,1002,20000000000,Y,Y,34,Bronze,78,Wed,10,6/1/2022,,
5328,1,6000,Y,N,34,Bronze,78,Wed,10,6/1/2022,,
5329,1,2000,Y,N,32,Bronze,78,Wed,10,6/1/2022,,
5330,1,5000,Y,N,37,Bronze,78,Wed,10,6/1/2022,,
5331,888,13000000,N,Y,18,Bronze,78,Wed,6.3,6/1/2022,,
5332,18013,311000000,Y,Y,76,Silver,78,Thu,9.4,6/2/2022,,
5333,30388,14000000000,N,Y,156,Silver,78,Thu,8.8,6/2/2022,,
5334,425028,65000000000,Y,Y,109,Bronze,78,Thu,7.6,6/2/2022,,
5335,4,43000,Y,N,91,Silver,78,Thu,10,6/2/2022,,
5336,3,25000,Y,N,12,Bronze,78,Thu,10,6/2/2022,,
5337,1,21000,Y,N,11,Bronze,78,Thu,10,6/2/2022,,
5338,2,4000000000,N,Y,692,Gold,78,Fri,4.4,6/3/2022,,
5339,9,25000000,Y,N,44,Silver,78,Fri,8.2,6/3/2022,,
5340,1,362000,Y,N,38,Bronze,78,Fri,10,6/3/2022,,
5341,4,23000000,Y,Y,60,Gold,78,Fri,10,6/3/2022,,
5342,3574,2000000000,Y,Y,2,No Medal,78,Fri,3.5,6/3/2022,,
5343,4,504000,Y,N,10,Bronze,78,Fri,9.4,6/3/2022,,
5344,1,276000,Y,N,43,Bronze,78,Sat,10,6/4/2022,,
5345,1,71000,Y,N,25,Bronze,78,Sat,7.6,6/4/2022,,
5346,1,588,Y,N,10,Bronze,78,Sat,7.6,6/4/2022,,
5347,9,197000,Y,N,18,Bronze,78,Sat,8.5,6/4/2022,,
5348,2,201000,Y,N,72,Bronze,78,Sun,10,6/5/2022,,
5349,1,21000000,Y,N,30,Bronze,78,Sun,7.6,6/5/2022,,
5350,1,16000,Y,N,37,Bronze,78,Sun,10,6/5/2022,,
5351,988,16000000,N,Y,49,Bronze,78,Sun,8.8,6/5/2022,,
5352,11,17000000,Y,N,13,No Medal,78,Sun,6.5,6/5/2022,,
5353,1,24000000,Y,N,26,Bronze,78,Sun,8.2,6/5/2022,,
5354,1,105000,Y,N,53,Silver,78,Sun,9.1,6/5/2022,,
5355,1835,424000000,N,Y,4,No Medal,78,Sun,4.4,6/5/2022,,
5356,1,5000,Y,N,48,Bronze,78,Sun,10,6/5/2022,,
5357,685,48000000,N,Y,1,No Medal,78,Sun,1.3,6/5/2022,,
5358,1,45000000,Y,N,14,Bronze,78,Sun,7.6,6/5/2022,,
5359,456,433000000,N,Y,22,Bronze,78,Mon,10,6/6/2022,,
5360,7,75000000,Y,N,135,Bronze,78,Mon,10,6/6/2022,,
5361,1,99000,Y,N,66,Silver,78,Mon,10,6/6/2022,,
5362,6,2000000,Y,N,56,Bronze,78,Tue,10,6/7/2022,,
5363,1,36000000,Y,N,134,Gold,78,Tue,10,6/7/2022,,
5364,5,89000,Y,N,68,Silver,78,Tue,10,6/7/2022,,
5365,1,2000,Y,N,35,Bronze,78,Tue,10,6/7/2022,,
5366,4,23000,Y,N,12,Bronze,78,Tue,7.1,6/7/2022,,
5367,2,41000,N,Y,46,Bronze,78,Wed,8.5,6/8/2022,,
5368,490624,3000000000,N,Y,3,No Medal,78,Wed,1.3,6/8/2022,,
5369,6,133000000,N,Y,38,Bronze,78,Wed,8.1,6/8/2022,,
5370,3,6000,Y,N,23,Bronze,78,Wed,10,6/8/2022,,
5371,1,149000,Y,N,70,Bronze,78,Thu,9.7,6/9/2022,,
5372,12,441000000,N,Y,1,No Medal,78,Thu,1.9,6/9/2022,,
5373,36534,31000000,N,Y,11,Bronze,78,Thu,5,6/9/2022,,
5374,23381,14000000000,N,Y,7,No Medal,78,Thu,10,6/9/2022,,
5375,8,3000000,Y,Y,128,Gold,78,Fri,10,6/10/2022,,
5376,2,439000,Y,N,42,No Medal,78,Sat,2.9,6/11/2022,,
5377,1,22000000,Y,N,613,Gold,78,Sat,10,6/11/2022,,
5378,1,59000,Y,N,54,Bronze,78,Sat,9.4,6/11/2022,,
5379,2,2000000,Y,Y,43,Bronze,78,Sat,9.4,6/11/2022,,
5380,1,107000,Y,N,32,Bronze,78,Sat,9.1,6/11/2022,,
5381,1,195000,Y,N,96,Bronze,78,Sun,8.8,6/12/2022,,
5382,40,1000000000,Y,N,4,No Medal,78,Sun,6.3,6/12/2022,,
5383,1,4000,Y,N,39,Bronze,78,Sun,8.2,6/12/2022,,
5384,1,12000,Y,N,41,No Medal,78,Sun,9.7,6/12/2022,,
5385,1,5000000,Y,N,36,Bronze,78,Sun,9.4,6/12/2022,,
5386,4,8000000,Y,Y,16,Bronze,78,Sun,9.1,6/12/2022,,
5387,3,19000,Y,N,38,Bronze,78,Mon,10,6/13/2022,,
5388,2,188000,Y,Y,32,Bronze,78,Tue,9.4,6/14/2022,,
5389,1,3000000,Y,N,108,Gold,78,Tue,10,6/14/2022,,
5390,2,102000,Y,N,71,Silver,78,Tue,10,6/14/2022,,
5391,17,454000,Y,N,31,Bronze,78,Tue,8.2,6/14/2022,,
5392,1456,431000000,Y,Y,33,Silver,78,Tue,8.2,6/14/2022,,
5393,1,8000,Y,N,1326,Gold,78,Wed,10,6/15/2022,,
5394,1,383000,Y,N,24,Bronze,78,Wed,10,6/15/2022,,
5395,2,2000000,Y,Y,48,Silver,78,Wed,10,6/15/2022,,
5396,1,2000000,Y,N,54,Silver,78,Wed,10,6/15/2022,,
5397,44,3000000000,N,Y,8,Bronze,78,Thu,3.8,6/16/2022,,
5398,1,76000,Y,N,49,Silver,78,Thu,10,6/16/2022,,
5399,1,50000,Y,N,143,Gold,78,Fri,9.4,6/17/2022,,
5400,2,7000000,Y,N,173,Gold,78,Fri,10,6/17/2022,,
5401,3,955000,N,Y,12,Bronze,78,Fri,1.9,6/17/2022,,
5402,1,7000,Y,N,76,Silver,78,Fri,10,6/17/2022,,
5403,3,3000000,Y,Y,75,Gold,78,Fri,10,6/17/2022,,
5404,11001,3000000000,N,Y,9,No Medal,78,Fri,9.4,6/17/2022,,
5405,2,49000,Y,N,112,Silver,78,Sat,10,6/18/2022,,
5406,1,397000,Y,N,31,Bronze,78,Sat,10,6/18/2022,,
5407,27001,7000000000,N,Y,19,Bronze,78,Sat,9.4,6/18/2022,,
5408,27014,858000000,N,Y,15,Bronze,78,Sat,8.1,6/18/2022,,
5409,1,78000,N,Y,3,No Medal,78,Sat,2.5,6/18/2022,,
5410,1,55000,Y,N,18,Bronze,78,Sat,5.9,6/18/2022,,
5411,1,302000,Y,N,16,Bronze,78,Sat,8.5,6/18/2022,,
5412,1,25000,Y,N,122,Silver,78,Sun,9.4,6/19/2022,,
5413,1,17000,Y,N,50,Silver,78,Sun,8.2,6/19/2022,,
5414,498,30000000,Y,Y,258,Gold,78,Sun,9.4,6/19/2022,,
5415,12,211000000,Y,N,21,No Medal,78,Sun,10,6/19/2022,,
5416,6,504000000,N,Y,2,No Medal,78,Sun,1.3,6/19/2022,,
5417,1,2000000,N,Y,17,Bronze,78,Mon,10,6/20/2022,,
5418,4,2000000000,N,Y,39,Silver,78,Mon,10,6/20/2022,,
5419,5,42000,Y,N,44,Silver,78,Mon,10,6/20/2022,,
5420,1,18000,Y,N,8,No Medal,78,Mon,6.5,6/20/2022,,
5421,1,43000000,Y,N,26,Bronze,78,Mon,10,6/20/2022,,
5422,511,70000000,Y,N,11,Bronze,78,Mon,8.1,6/20/2022,,
5423,3,8000,Y,N,28,Bronze,78,Mon,10,6/20/2022,,
5424,1,6000000,Y,N,103,Silver,78,Tue,10,6/21/2022,,
5425,1,211000,Y,N,70,Silver,78,Tue,10,6/21/2022,,
5426,1,73000,N,Y,10,Bronze,78,Tue,6.3,6/21/2022,,
5427,363397,25000000000,N,Y,7,No Medal,78,Tue,6.3,6/21/2022,,
5428,1,4000000,Y,N,20,Bronze,78,Tue,10,6/21/2022,,
5429,2,2000000,Y,Y,19,Bronze,78,Tue,10,6/21/2022,,
5430,2,10000000,Y,N,116,Silver,78,Wed,9.4,6/22/2022,,
5431,1,6000000,Y,N,188,Gold,78,Wed,10,6/22/2022,,
5432,3,295000,Y,N,44,Bronze,78,Wed,10,6/22/2022,,
5433,4,162000,Y,N,42,Bronze,78,Wed,10,6/22/2022,,
5434,1,9000,Y,N,72,Silver,78,Wed,10,6/22/2022,,
5435,3,3000000,Y,Y,18,Bronze,78,Wed,7.1,6/22/2022,,
5436,1,18000,Y,N,33,Bronze,78,Wed,10,6/22/2022,,
5437,4,26000000,Y,Y,4,No Medal,78,Wed,2.9,6/22/2022,,
5438,5280,3000000000,N,Y,6,No Medal,78,Wed,5.6,6/22/2022,,
5439,2,57000,Y,N,7,Bronze,78,Wed,6.5,6/22/2022,,
5440,4,761000,Y,N,48,Bronze,78,Thu,9.7,6/23/2022,,
5441,1,1000000,Y,N,8,Bronze,78,Thu,2.4,6/23/2022,,
5442,8026,165000000,N,Y,34,Silver,78,Thu,8.8,6/23/2022,,
5443,1,3000,Y,N,43,Silver,78,Thu,7.1,6/23/2022,,
5444,4,684000,Y,N,22,Bronze,78,Thu,9.7,6/23/2022,,
5445,1,467000,Y,N,17,Bronze,78,Thu,10,6/23/2022,,
5446,93,2000000000,N,Y,3,No Medal,78,Thu,6.9,6/23/2022,,
5447,1,46000000,Y,N,6,No Medal,78,Thu,10,6/23/2022,,
5448,136,71000,Y,N,9,Bronze,78,Thu,7.6,6/23/2022,,
5449,2,11000,Y,N,149,Silver,78,Fri,10,6/24/2022,,
5450,1,5000,Y,N,56,Silver,78,Fri,8.5,6/24/2022,,
5451,1,26000,Y,N,48,Silver,78,Fri,10,6/24/2022,,
5452,309,8000000,N,Y,40,Silver,78,Fri,8.1,6/24/2022,,
5453,1265,151000000,Y,Y,21,Bronze,78,Fri,8.2,6/24/2022,,
5454,1,491000,Y,N,79,Silver,78,Sat,10,6/25/2022,,
5455,1,77000,Y,N,15,Bronze,78,Sat,10,6/25/2022,,
5456,1,2000000,Y,N,27,Bronze,78,Sat,7.6,6/25/2022,,
5457,2,476000000,Y,Y,21,Bronze,78,Sat,9.7,6/25/2022,,
5458,1178,118000000,Y,Y,226,Gold,78,Sun,8.8,6/26/2022,,
5459,22496,107000000,Y,Y,76,Silver,78,Sun,8.8,6/26/2022,,
5460,1967,105000000,N,Y,50,Silver,78,Sun,9.4,6/26/2022,,
5461,1,2000000,Y,N,35,Bronze,78,Sun,10,6/26/2022,,
5462,21561,6000000000,Y,Y,24,Bronze,78,Sun,8.2,6/26/2022,,
5463,3865,691000000,Y,N,28,Silver,78,Sun,9.4,6/26/2022,,
5464,1,16000,Y,N,18,Bronze,78,Sun,1.8,6/26/2022,,
5465,4,802000000,N,Y,3,No Medal,78,Sun,5,6/26/2022,,
5466,420,45000000,Y,Y,21,Bronze,78,Mon,9.4,6/27/2022,,
5467,1003,16000000,N,Y,13,Bronze,78,Mon,9.4,6/27/2022,,
5468,1,143000,Y,N,28,Bronze,78,Mon,8.2,6/27/2022,,
5469,1,14000000,Y,N,25,Bronze,78,Mon,9.4,6/27/2022,,
5470,1,5000,Y,N,22,Bronze,78,Mon,10,6/27/2022,,
5471,7,3000000,Y,N,24,Bronze,78,Mon,9.4,6/27/2022,,
5472,67,2000000000,N,Y,23,Bronze,78,Mon,8.1,6/27/2022,,
5473,1,35000,N,Y,21,Bronze,78,Mon,4.4,6/27/2022,,
5474,1,288000,Y,N,23,Bronze,78,Tue,10,6/28/2022,,
5475,4,205000,Y,N,40,Silver,78,Tue,10,6/28/2022,,
5476,1,743,Y,N,40,Bronze,78,Tue,9.4,6/28/2022,,
5477,2,22000,Y,Y,29,Bronze,78,Tue,10,6/28/2022,,
5478,100,19000000000,N,Y,25,Silver,78,Tue,8.8,6/28/2022,,
5479,1,255000,Y,N,183,Silver,78,Wed,7.6,6/29/2022,,
5480,5,363000,Y,N,68,Silver,78,Wed,10,6/29/2022,,
5481,1,12000,Y,N,68,Bronze,78,Wed,10,6/29/2022,,
5482,11,1000000000,Y,Y,15,Bronze,78,Wed,9.4,6/29/2022,,
5483,1,120000,Y,N,26,Bronze,78,Wed,10,6/29/2022,,
5484,2269,62000000,Y,Y,19,Bronze,78,Wed,8.1,6/29/2022,,
5485,1,59000,Y,N,64,Silver,78,Thu,10,6/30/2022,,
5486,1,1000,Y,N,32,Bronze,78,Thu,10,6/30/2022,,
5487,1,981000,Y,N,67,Bronze,79,Fri,8.2,7/1/2022,,
5488,1,40000,Y,N,28,Bronze,79,Fri,10,7/1/2022,,
5489,1,527000,Y,N,41,Bronze,79,Fri,9.4,7/1/2022,,
5490,1,78000,Y,N,13,Bronze,79,Fri,10,7/1/2022,,
5491,1,1000000,N,Y,12,Bronze,79,Fri,6.5,7/1/2022,,
5492,10,27000000000,N,Y,14,Bronze,79,Fri,10,7/1/2022,,
5493,5,18000,Y,N,27,Bronze,79,Sat,10,7/2/2022,,
5494,8,101000000,Y,N,7,No Medal,79,Sat,9.4,7/2/2022,,
5495,1,1000000,Y,N,6,No Medal,79,Sat,4.1,7/2/2022,,
5496,29802,1000000000,Y,Y,43,Silver,79,Sat,8.8,7/2/2022,,
5497,1,3000,Y,N,22,Bronze,79,Sat,7.1,7/2/2022,,
5498,22038,2000000000,Y,Y,30,Bronze,79,Sat,7.6,7/2/2022,,
5499,15772,4000000000,Y,Y,26,Bronze,79,Sat,8.8,7/2/2022,,
5500,2,47000000,Y,N,35,Silver,79,Sun,10,7/3/2022,,
5501,1,943000,Y,N,2,No Medal,79,Sun,3.5,7/3/2022,,
5502,1,2000,N,Y,0,No Medal,79,Mon,0.6,7/4/2022,,
5503,1,27000000,Y,N,0,No Medal,79,Mon,1.8,7/4/2022,,
5504,1,4000000,Y,N,41,Bronze,79,Mon,10,7/4/2022,,
5505,1,32000,Y,N,36,Bronze,79,Tue,9.7,7/5/2022,,
5506,1,3000000,N,Y,29,Silver,79,Tue,10,7/5/2022,,
5507,1,42000,N,Y,28,Bronze,79,Tue,8.8,7/5/2022,,
5508,13239,8000000000,N,Y,5,No Medal,79,Tue,1.9,7/5/2022,,
5509,1,439000,Y,N,106,Silver,79,Wed,9.4,7/6/2022,,
5510,3,444000,Y,N,49,Bronze,79,Wed,10,7/6/2022,,
5511,6028,49000000,Y,Y,75,Silver,79,Wed,7.6,7/6/2022,,
5512,15,248000,Y,N,21,Bronze,79,Wed,10,7/6/2022,,
5513,1,12000,Y,N,49,Silver,79,Wed,10,7/6/2022,,
5514,2,29000000,Y,N,18,Bronze,79,Wed,10,7/6/2022,,
5515,165,18000000,N,Y,21,Bronze,79,Wed,8.8,7/6/2022,,
5516,3,233000,Y,N,2,No Medal,79,Thu,1.8,7/7/2022,,
5517,11000,544000000,N,Y,18,Bronze,79,Thu,7.5,7/7/2022,,
5518,1,288000,Y,N,25,Bronze,79,Thu,10,7/7/2022,,
5519,1,1000000,N,Y,38,Bronze,79,Thu,7.5,7/7/2022,,
5520,187,50000000,Y,Y,18,Bronze,79,Thu,7.1,7/7/2022,,
5521,1,330000,Y,N,2,No Medal,79,Thu,4.1,7/7/2022,,
5522,1,560000,Y,N,88,Silver,79,Fri,10,7/8/2022,,
5523,1,55000,Y,N,50,Bronze,79,Fri,10,7/8/2022,,
5524,3,169000000,Y,N,35,Silver,79,Fri,10,7/8/2022,,
5525,19999,5000000000,Y,Y,30,Silver,79,Fri,7.6,7/8/2022,,
5526,6512,10000000000,Y,Y,5,No Medal,79,Fri,4.7,7/8/2022,,
5527,1,322,Y,N,12,Bronze,79,Fri,10,7/8/2022,,
5528,1,728000,Y,N,159,Gold,79,Sat,10,7/9/2022,,
5529,1,6000,Y,N,79,Bronze,79,Sat,10,7/9/2022,,
5530,25124,7000000000,Y,Y,47,Silver,79,Sat,10,7/9/2022,,
5531,1,90000,Y,N,56,Silver,79,Sat,10,7/9/2022,,
5532,6010,190000000,Y,Y,21,Bronze,79,Sat,9.4,7/9/2022,,
5533,1,4000000,Y,N,69,Silver,79,Sun,10,7/10/2022,,
5534,1,4000000,Y,N,10,Bronze,79,Sun,9.4,7/10/2022,,
5535,16953,236000000,N,Y,16,Bronze,79,Sun,8.1,7/10/2022,,
5536,6,456000,N,Y,6,No Medal,79,Mon,1.9,7/11/2022,,
5537,9,92000000,N,Y,9,No Medal,79,Mon,10,7/11/2022,,
5538,1,2000000,Y,N,30,Bronze,79,Mon,10,7/11/2022,,
5539,1,1000000,Y,N,14,Bronze,79,Mon,10,7/11/2022,,
5540,2891,103000000,N,Y,16,Bronze,79,Tue,8.8,7/12/2022,,
5541,9145,137000000,N,Y,21,Bronze,79,Tue,8.8,7/12/2022,,
5542,1,50000,Y,N,15,Bronze,79,Tue,9.4,7/12/2022,,
5543,1,8000000,Y,N,17,Bronze,79,Tue,9.7,7/12/2022,,
5544,1,34000,Y,N,30,Bronze,79,Tue,10,7/12/2022,,
5545,1,1000,Y,N,50,Silver,79,Tue,2.9,7/12/2022,,
5546,466,139000000,N,Y,24,Bronze,79,Tue,8.8,7/12/2022,,
5547,1,14000,Y,N,20,Bronze,79,Tue,10,7/12/2022,,
5548,1,22000,Y,N,35,Bronze,79,Tue,10,7/12/2022,,
5549,254,704000000,N,Y,34,Bronze,79,Tue,8.8,7/12/2022,,
5550,1,11000000,Y,N,13,Bronze,79,Tue,9.1,7/12/2022,,
5551,1,21000000,Y,N,14,Bronze,79,Tue,9.1,7/12/2022,,
5552,1,12000,Y,N,73,Gold,79,Tue,10,7/12/2022,,
5553,1,330000,N,Y,10,No Medal,79,Tue,10,7/12/2022,,
5554,1,11000,Y,N,18,Bronze,79,Tue,10,7/12/2022,,
5555,981,2000000,N,Y,2,No Medal,79,Tue,1.3,7/12/2022,,
5556,2662,421000000,Y,Y,124,Silver,79,Wed,8.2,7/13/2022,,
5557,1799,55000000,N,Y,37,Bronze,79,Wed,8.8,7/13/2022,,
5558,2,323000000,Y,N,8,Bronze,79,Wed,2.9,7/13/2022,,
5559,13964,2000000000,N,Y,9,No Medal,79,Wed,3.1,7/13/2022,,
5560,1,2000000,Y,N,12,Bronze,79,Thu,9.1,7/14/2022,,
5561,1,798000,Y,N,6,No Medal,79,Thu,9.4,7/14/2022,,
5562,1,5000,Y,N,79,Gold,79,Fri,10,7/15/2022,,
5563,1,2000,Y,N,125,Gold,79,Sat,10,7/16/2022,,
5564,2,53000,Y,N,115,Silver,79,Sat,9.7,7/16/2022,,
5565,1,3000,Y,N,274,Gold,79,Sat,10,7/16/2022,,
5566,1,9000,Y,N,82,Gold,79,Sat,10,7/16/2022,,
5567,1,386000,Y,N,37,Silver,79,Sat,10,7/16/2022,,
5568,1,14000,Y,N,58,Silver,79,Sat,10,7/16/2022,,
5569,8,23000,Y,Y,90,Gold,79,Sat,10,7/16/2022,,
5570,5033,19000000000,Y,Y,17,Bronze,79,Sat,9.4,7/16/2022,,
5571,814,2000000,N,Y,19,Bronze,79,Sat,8.8,7/16/2022,,
5572,1,16000,Y,N,18,Bronze,79,Sat,10,7/16/2022,,
5573,1,357000,Y,N,21,Bronze,79,Sat,7.6,7/16/2022,,
5574,23,46000,Y,N,10,Bronze,79,Sat,8.8,7/16/2022,,
5575,1,6000,Y,N,48,Silver,79,Sat,8.2,7/16/2022,,
5576,1,8000,Y,N,23,Bronze,79,Sat,9.4,7/16/2022,,
5577,393,1000000,Y,Y,216,Gold,79,Sun,8.8,7/17/2022,,
5578,3,122000,Y,Y,220,Gold,79,Sun,10,7/17/2022,,
5579,5401,688000000,N,Y,164,Gold,79,Sun,10,7/17/2022,,
5580,3,539000,Y,Y,122,Gold,79,Sun,10,7/17/2022,,
5581,1,6000000,Y,N,45,Silver,79,Sun,10,7/17/2022,,
5582,6751,304000000,N,Y,78,Gold,79,Sun,10,7/17/2022,,
5583,2,36000,Y,Y,86,Silver,79,Sun,10,7/17/2022,,
5584,1,2000,Y,N,29,Bronze,79,Sun,8.2,7/17/2022,,
5585,176,775000,Y,Y,62,Silver,79,Sun,10,7/17/2022,,
5586,5,7000000,Y,N,62,Bronze,79,Sun,8.2,7/17/2022,,
5587,1,635,Y,N,38,Silver,79,Mon,10,7/18/2022,,
5588,1,13000000,Y,N,33,Bronze,79,Mon,7.1,7/18/2022,,
5589,4,171000,Y,N,39,Bronze,79,Mon,8.8,7/18/2022,,
5590,96015,37000000000,Y,Y,112,Silver,79,Mon,7.1,7/18/2022,,
5591,1,15000,Y,N,25,Bronze,79,Mon,9.4,7/18/2022,,
5592,3,1000000,Y,N,80,Gold,79,Mon,10,7/18/2022,,
5593,1,1000000,N,Y,15,Bronze,79,Mon,0.6,7/18/2022,,
5594,457420,36000000000,N,Y,17,Bronze,79,Mon,8.8,7/18/2022,,
5595,1,6000,Y,N,19,Bronze,79,Mon,7.1,7/18/2022,,
5596,1,89000,Y,N,31,Bronze,79,Mon,10,7/18/2022,,
5597,3,3000000,Y,Y,9,No Medal,79,Mon,9.1,7/18/2022,,
5598,1,3000,Y,N,19,No Medal,79,Tue,1.8,7/19/2022,,
5599,1,388000,Y,N,32,Bronze,79,Tue,7.1,7/19/2022,,
5600,1,23000,Y,N,20,Bronze,79,Tue,1.8,7/19/2022,,
5601,9349,22000000,N,Y,12,Bronze,79,Tue,8.8,7/19/2022,,
5602,1,2000,Y,N,4,No Medal,79,Tue,5.9,7/19/2022,,
5603,1,26000,Y,N,36,Silver,79,Tue,1.2,7/19/2022,,
5604,1,79000,Y,N,45,Silver,79,Tue,10,7/19/2022,,
5605,1,276,Y,N,154,Silver,79,Wed,10,7/20/2022,,
5606,1,2000,Y,N,55,Bronze,79,Wed,10,7/20/2022,,
5607,1,18000,Y,N,32,Bronze,79,Wed,10,7/20/2022,,
5608,1,4000,Y,N,34,Silver,79,Wed,1.8,7/20/2022,,
5609,1,1000,Y,N,33,Bronze,79,Thu,10,7/21/2022,,
5610,1,596000,Y,N,44,Silver,79,Thu,8.5,7/21/2022,,
5611,1,4000000,Y,N,114,Gold,79,Thu,10,7/21/2022,,
5612,272,54000000,N,Y,49,Silver,79,Thu,9.4,7/21/2022,,
5613,1,10000,Y,N,46,Bronze,79,Thu,8.2,7/21/2022,,
5614,1,810000,Y,N,36,Bronze,79,Thu,9.4,7/21/2022,,
5615,1,91000,Y,N,73,Gold,79,Thu,10,7/21/2022,,
5616,1,186000000,Y,N,18,Bronze,79,Thu,7.6,7/21/2022,,
5617,1,11000000,Y,N,94,Gold,79,Thu,10,7/21/2022,,
5618,1,2000,Y,N,58,Silver,79,Fri,9.7,7/22/2022,,
5619,1,5000,Y,N,57,Bronze,79,Fri,8.5,7/22/2022,,
5620,770,57000000,N,Y,19,Bronze,79,Fri,7.5,7/22/2022,,
5621,10,40000,Y,N,10,No Medal,79,Fri,10,7/22/2022,,
5622,2791,268000000,N,Y,7,Bronze,79,Fri,1.9,7/22/2022,,
5623,3,6000000000,Y,N,44,Silver,79,Sat,10,7/23/2022,,
5624,1,16000000,Y,N,7,No Medal,79,Sat,10,7/23/2022,,
